    ,title                                                            ,,Production company                                                                                                                                                                               ,Release date                                                                                                                                                  ,Running time                                                                                                                                                                          ,Country                                                      ,Language                                                     ,Running time (int) ,Budget (float) ,Box office (float)   ,Release date (datetime) ,imdb ,metascore ,rotten_tomatoes ,Directed by                                                                                                                                                                                                 ,Produced by                                                                                                                                                                                                                                                                                                                                                        ,Written by                                                                                                                                                                                                                                                                                   ,Based on                                                                                                                                                                                                    ,Starring                                                                                                                                                                                                                                                                                                                             ,Music by                                                                                                                                                                                                                                    ,Distributed by                                                                                                                              ,Budget                                                    ,Box office                                                                                                                          
103,Anaganaga O Dheerudu                                             ,,"['Disney World Cinema', 'A Bellyful of Dreams Entertainment', 'Arka Media Works', 'Walt Disney Pictures India']                                                                                ",['14 January 2011 (India)']                                                                                                                                   ,                                                                                                                                                                                      ,India                                                        ,Telugu                                                       ,                   ,3800000,5400000,1/14/2011,     ,          ,                ,Prakash Kovelamudi                                                                                                                                                                                          ,"['Prakash Kovelamudi', 'Shobu Yarlagadda', 'Prasad Devineni']                                                                                                                                                                                                                                                                                                    ",Choudekar Haricharan Madnoor                                                                                                                                                                                                                                                                 ,                                                                                                                                                                                                            ,"['Siddharth', 'Shruti Haasan', 'Lakshmi Manchu', 'Baby Harshitha']                                                                                                                                                                                                                                                                 ","['Salim–Sulaiman', 'M. M. Keeravani', 'Koti', 'Mickey J Meyer', 'Ananth']                                                                                                                                                                 ",UTV Motion Pictures                                                                                                                         ,(US$3.8 million)                                          ,(US$5.4 million)                                                                                                                    
104,Lilly the Witch: The Journey to Mandolan                         ,,Walt Disney Pictures                                                                                                                                                                             ,['17 February 2011']                                                                                                                                          ,90 minutes                                                                                                                                                                            ,Germany                                                      ,German                                                       ,90,               ,                     ,2/17/2011,4.8,N/A       ,                ,Harald Sicheritz                                                                                                                                                                                            ,                                                                                                                                                                                                                                                                                                                                                                   ,"['Bettine von Borries', 'Achim von Borries']                                                                                                                                                                                                                                               ",                                                                                                                                                                                                            ,"['Alina Freund', 'Tanay Chheda']                                                                                                                                                                                                                                                                                                   ",Ian Honeyman                                                                                                                                                                                                                                ,Walt Disney Studios Motion Pictures                                                                                                         ,                                                          ,                                                                                                                                    
105,Mars Needs Moms                                                  ,,"['Walt Disney Pictures', 'ImageMovers Digital']                                                                                                                                                ","['March 11, 2011']                                                                                                                                          ",88 minutes                                                                                                                                                                            ,United States                                                ,English                                                      ,88,150000000,39200000,3/11/2011,5.4,49,37%,Simon Wells                                                                                                                                                                                                 ,"['Robert Zemeckis', 'Jack Rapke', 'Steve Starkey', 'Steven Boyd']                                                                                                                                                                                                                                                                                                ",                                                                                                                                                                                                                                                                                             ,"['Mars Needs Moms!', 'by', 'Berkeley Breathed']                                                                                                                                                           ","['Seth Green', 'Dan Fogler', 'Tom Everett Scott', 'Elisabeth Harnois', 'Mindy Sterling', 'Joan Cusack']                                                                                                                                                                                                                            ",John Powell                                                                                                                                                                                                                                 ,"['Walt Disney Studios', 'Motion Pictures']                                                                                                ",$150 million                                              ,$39.2 million                                                                                                                       
106,Zokkomon                                                         ,,"['Disney World Cinema', 'Walt Disney Pictures India']                                                                                                                                          ",['22 April 2011']                                                                                                                                             ,109 minutes                                                                                                                                                                           ,India                                                        ,Hindi                                                        ,109,               ,                     ,4/22/2011,4.2,N/A       ,53%,Satyajit Bhatkal                                                                                                                                                                                            ,                                                                                                                                                                                                                                                                                                                                                                   ,                                                                                                                                                                                                                                                                                             ,                                                                                                                                                                                                            ,"['Darsheel Safary', 'Manjari Phadnis', 'Anupam Kher']                                                                                                                                                                                                                                                                              ",Shankar-Ehsaan-Loy                                                                                                                                                                                                                          ,UTV Motion Pictures                                                                                                                         ,                                                          ,                                                                                                                                    
107,African Cats                                                     ,,"['Disneynature', 'Fothergill / Scholey Productions', 'Silverback Films']                                                                                                                       ","['April 22, 2011 (United States)', 'February 1, 2012 (France)', 'April 27, 2012 (United Kingdom)']                                                          ",89 minutes                                                                                                                                                                            ,"['United States', 'France', 'United Kingdom']              ","['English', 'French']                                      ",89,5000000,30900000,4/22/2011,7.6,61,73%,"['Alastair Fothergill', 'Keith Scholey']                                                                                                                                                                  ","['Alix Tidmarsh', 'Keith Scholey']                                                                                                                                                                                                                                                                                                                               ",                                                                                                                                                                                                                                                                                             ,                                                                                                                                                                                                            ,                                                                                                                                                                                                                                                                                                                                     ,Nicholas Hooper                                                                                                                                                                                                                             ,Walt Disney Studios Motion Pictures                                                                                                         ,$5 million                                                ,$30.9 million                                                                                                                       
108,Prom                                                             ,,Walt Disney Pictures                                                                                                                                                                             ,"['April 29, 2011']                                                                                                                                          ",104 minutes                                                                                                                                                                           ,United States                                                ,English                                                      ,104,8000000,10100000,4/29/2011,5.4,50,36%,Joe Nussbaum                                                                                                                                                                                                ,"['Ted Griffin', 'Justin Springer']                                                                                                                                                                                                                                                                                                                               ",Katie Wech                                                                                                                                                                                                                                                                                   ,                                                                                                                                                                                                            ,"['Aimee Teegarden', 'Thomas McDonell', 'Cameron Monaghan', 'Yin Chang', 'Nicholas Braun', 'Dean Norris', 'Danielle Campbell', 'Nolan Sotillo', 'Kylie Bunbury', 'Christine Elise', 'Raini Rodriguez']                                                                                                                              ",Deborah Lurie                                                                                                                                                                                                                               ,"['Walt Disney Studios', 'Motion Pictures']                                                                                                ",$8 million                                                ,$10.1 million                                                                                                                       
109,Pirates of the Caribbean: On Stranger Tides                      ,,                                                                                                                                                                                                 ,"['May 7, 2011 ( Disneyland Resort )', 'May 20, 2011 (United States)']                                                                                       ",137 minutes                                                                                                                                                                           ,United States                                                ,English                                                      ,137,410600000,1046000000,5/7/2011,6.6,45,33%,Rob Marshall                                                                                                                                                                                                ,"Jerry Bruckheimer , Neal H. Moritz                                                                                                                                                                                                                                                                                                                               ","['Ted Elliott', 'Terry Rossio']                                                                                                                                                                                                                                                            ","['On Stranger Tides by Tim Powers', 'Characters by Ted Elliott Terry Rossio Stuart Beattie Jay Wolpert', 'Pirates of the Caribbean by Walt Disney']                                                       ","['Johnny Depp', 'Penélope Cruz', 'Ian McShane', 'Kevin R. McNally', 'Geoffrey Rush']                                                                                                                                                                                                                                               ",Hans Zimmer                                                                                                                                                                                                                                 ,"['Walt Disney Studios', 'Motion Pictures']                                                                                                ","['$410.6 million (gross)', '$378.5 million (net)']      ",$1.046 billion                                                                                                                      
110,Cars 2                                                           ,,"['Walt Disney Pictures', 'Pixar Animation Studios']                                                                                                                                            ","['June 18, 2011 (Hollywood)', 'June 24, 2011 (United States)']                                                                                              ",106 minutes                                                                                                                                                                           ,United States                                                ,English                                                      ,106,200000000,562100000,6/18/2011,6.1,57,39%,John Lasseter                                                                                                                                                                                               ,Denise Ream                                                                                                                                                                                                                                                                                                                                                        ,                                                                                                                                                                                                                                                                                             ,                                                                                                                                                                                                            ,"['Owen Wilson', 'Larry the Cable Guy', 'Michael Caine', 'Emily Mortimer', 'John Turturro', 'Eddie Izzard']                                                                                                                                                                                                                         ",Michael Giacchino                                                                                                                                                                                                                           ,"['Walt Disney Studios', 'Motion Pictures']                                                                                                ",$200 million                                              ,$562.1 million                                                                                                                      
111,Winnie the Pooh                                                  ,,                                                                                                                                                                                                 ,"['April 6, 2011 (Belgium)', 'July 15, 2011 (United States)']                                                                                                ",69 minutes                                                                                                                                                                            ,United States                                                ,English                                                      ,69,30000000,50100000,4/6/2011,7.2,74,91%,"['Stephen J. Anderson', 'Don Hall']                                                                                                                                                                       ","['Peter Del Vecho', 'Clark Spencer']                                                                                                                                                                                                                                                                                                                             ",                                                                                                                                                                                                                                                                                             ,['A. A. Milne']                                                                                                                                                                                             ,"['Jim Cummings', 'Jack Boulter', 'Travis Oates', 'Bud Luckey', 'Tom Kenny', 'Craig Ferguson', 'Kristen Anderson-Lopez', 'Wyatt Hall', 'Huell Howser']                                                                                                                                                                              ",Henry Jackman                                                                                                                                                                                                                               ,"['Walt Disney Studios', 'Motion Pictures']                                                                                                ",$30 million                                               ,$50.1 million                                                                                                                       
112,The Muppets                                                      ,,"['Walt Disney Pictures', 'Mandeville Films', 'The Muppets Studio']                                                                                                                             ","['November 4, 2011 (Savannah Film Festival)', 'November 23, 2011 (United States)']                                                                          ",103 minutes                                                                                                                                                                           ,United States                                                ,English                                                      ,103,45000000,165200000,11/4/2011,7.1,75,95%,James Bobin                                                                                                                                                                                                 ,"['David Hoberman', 'Todd Lieberman']                                                                                                                                                                                                                                                                                                                             ","['Jason Segel', 'Nicholas Stoller']                                                                                                                                                                                                                                                        ",Disney's Muppet characters and properties                                                                                                                                                                   ,"['Jason Segel', 'Amy Adams', 'Chris Cooper', 'Rashida Jones']                                                                                                                                                                                                                                                                      ",Christophe Beck                                                                                                                                                                                                                             ,"['Walt Disney Studios', 'Motion Pictures']                                                                                                ",$45 million                                               ,$165.2 million                                                                                                                      
113,John Carter                                                      ,,Walt Disney Pictures                                                                                                                                                                             ,"['February 22, 2012 ( Los Angeles )', 'March 9, 2012 (United States)']                                                                                      ",132 minutes                                                                                                                                                                           ,United States                                                ,English                                                      ,132,306600000,284100000,2/22/2012,6.6,51,52%,Andrew Stanton                                                                                                                                                                                              ,"['Jim Morris', 'Colin Wilson', 'Lindsey Collins']                                                                                                                                                                                                                                                                                                                ",                                                                                                                                                                                                                                                                                             ,"['A Princess of Mars', 'by', 'Edgar Rice Burroughs']                                                                                                                                                      ","['Taylor Kitsch', 'Lynn Collins', 'Samantha Morton', 'Mark Strong', 'Ciarán Hinds', 'Dominic West', 'James Purefoy', 'Willem Dafoe']                                                                                                                                                                                               ",Michael Giacchino                                                                                                                                                                                                                           ,"['Walt Disney Studios', 'Motion Pictures']                                                                                                ","['$306.6 million (gross)', '$263.7 million (net)']      ",$284.1 million                                                                                                                      
114,Chimpanzee                                                       ,,"['Disneynature', 'Great Ape Productions']                                                                                                                                                      ","['April 20, 2012 (United States)', 'February 20, 2013 (France)', 'May 3, 2013 (United Kingdom)']                                                            ",77 minutes                                                                                                                                                                            ,"['United States', 'France', 'United Kingdom']              ","['English', 'French']                                      ",77,5000000,34800000,4/20/2012,7.2,57,76%,"['Alastair Fothergill', 'Mark Linfield']                                                                                                                                                                  ","['Alastair Fothergill', 'Mark Linfield', 'Alix Tidmarsh']                                                                                                                                                                                                                                                                                                        ","['Alastair Fothergill', 'Mark Linfield', 'Don Hahn']                                                                                                                                                                                                                                       ",                                                                                                                                                                                                            ,                                                                                                                                                                                                                                                                                                                                     ,Nicholas Hooper                                                                                                                                                                                                                             ,Walt Disney Studios Motion Pictures                                                                                                         ,$5 million                                                ,$34.8 million                                                                                                                       
115,Arjun: The Warrior Prince                                        ,,"['Walt Disney Pictures', 'Walt Disney Pictures India', 'UTV Motion Pictures']                                                                                                                  ",['25 May 2012']                                                                                                                                               ,96 minutes                                                                                                                                                                            ,India                                                        ,Hindi                                                        ,96,               ,                     ,5/25/2012,6.8,N/A       ,67%,Arnab Chaudhuri                                                                                                                                                                                             ,"['Ronnie Screwvala', 'Siddharth Roy Kapur']                                                                                                                                                                                                                                                                                                                      ",                                                                                                                                                                                                                                                                                             ,                                                                                                                                                                                                            ,                                                                                                                                                                                                                                                                                                                                     ,"['Songs:', 'Vishal Shekhar', 'Background Score:', 'Dhruv Ghanekar']                                                                                                                                                                       ",UTV Motion Pictures                                                                                                                         ,                                                          ,                                                                                                                                    
116,Brave                                                            ,,"['Walt Disney Pictures', 'Pixar Animation Studios']                                                                                                                                            ","['June 10, 2012 ( SIFF )', 'June 22, 2012 (United States)']                                                                                                 ",93 minutes                                                                                                                                                                            ,United States                                                ,English                                                      ,93,185000000,540400000,6/10/2012,7.1,69,78%,"['Mark Andrews', 'Brenda Chapman']                                                                                                                                                                        ",Katherine Sarafian                                                                                                                                                                                                                                                                                                                                                 ,                                                                                                                                                                                                                                                                                             ,                                                                                                                                                                                                            ,"['Kelly Macdonald', 'Emma Thompson', 'Billy Connolly', 'Julie Walters', 'Robbie Coltrane', 'Kevin McKidd', 'Craig Ferguson']                                                                                                                                                                                                       ",Patrick Doyle                                                                                                                                                                                                                               ,"['Walt Disney Studios', 'Motion Pictures']                                                                                                ",$185 million                                              ,$540.4 million                                                                                                                      
117,The Odd Life of Timothy Green                                    ,,"['Walt Disney Pictures', 'Scott Sanders Productions']                                                                                                                                          ","['August 15, 2012']                                                                                                                                         ",104 minutes                                                                                                                                                                           ,United States                                                ,English                                                      ,104,25000000,56000000,8/15/2012,6.6,47,36%,Peter Hedges                                                                                                                                                                                                ,"['Scott Sanders', 'James Whitaker', 'Ahmet Zappa']                                                                                                                                                                                                                                                                                                               ",                                                                                                                                                                                                                                                                                             ,                                                                                                                                                                                                            ,"['Jennifer Garner', 'Joel Edgerton', 'Dianne Wiest', 'CJ Adams', 'Rosemarie DeWitt', 'Ron Livingston', 'David Morse', 'Common']                                                                                                                                                                                                    ",Geoff Zanelli                                                                                                                                                                                                                               ,"['Walt Disney Studios', 'Motion Pictures']                                                                                                ",$25 million                                               ,$56 million                                                                                                                         
118,Frankenweenie                                                    ,,"['Walt Disney Pictures', 'Tim Burton Productions']                                                                                                                                             ","['September 20, 2012 (Fantastic Fest)', 'October 5, 2012 (United States)']                                                                                  ",87 minutes                                                                                                                                                                            ,United States                                                ,English                                                      ,87,39000000,81500000,9/20/2012,6.9,74,87%,Tim Burton                                                                                                                                                                                                  ,"['Tim Burton', 'Allison Abbate']                                                                                                                                                                                                                                                                                                                                 ",                                                                                                                                                                                                                                                                                             ,"['Tim Burton', 'Lenny Ripps']                                                                                                                                                                             ","[""Catherine O'Hara"", 'Martin Short', 'Martin Landau', 'Charlie Tahan', 'Atticus Shaffer', 'Winona Ryder']                                                                                                                                                                                                                        ",Danny Elfman                                                                                                                                                                                                                                ,Walt Disney Studios Motion Pictures                                                                                                         ,$39 million                                               ,$81.5 million                                                                                                                       
119,Wreck-It Ralph                                                   ,,"['Walt Disney Pictures', 'Walt Disney Animation Studios']                                                                                                                                      ","['October 29, 2012 ( El Capitan Theatre )', 'November 2, 2012 (United States)']                                                                             ",101 minutes                                                                                                                                                                           ,United States                                                ,English                                                      ,101,165000000,471200000,10/29/2012,7.7,72,87%,Rich Moore                                                                                                                                                                                                  ,Clark Spencer                                                                                                                                                                                                                                                                                                                                                      ,                                                                                                                                                                                                                                                                                             ,                                                                                                                                                                                                            ,"['John C. Reilly', 'Sarah Silverman', 'Jack McBrayer', 'Jane Lynch']                                                                                                                                                                                                                                                               ",Henry Jackman                                                                                                                                                                                                                               ,Walt Disney Studios Motion Pictures                                                                                                         ,$165 million                                              ,$471.2 million                                                                                                                      
